u_mag,g_mag,r_mag,i_mag,z_mag,RA,Dec,train,test,i_class
17.389656,15.943317,15.415464,15.246211,15.178227,190.0551293,20.69983424,true,false,2
18.966152,17.842972,17.413029,17.218576,17.156904,190.1074241,24.00908161,true,false,2
18.818127,17.119886,16.451841,16.166504,16.075933,190.144606,23.8747109,true,false,2
18.905525,17.745646,17.313175,17.101891,17.093149,190.1452741,23.86613498,true,false,2
16.17341,15.331834,15.108277,15.484584,15.054942,190.0683587,24.43632661,true,false,2
19.315111,17.153566,16.285093,15.950887,15.805859,190.146889,24.31114914,true,false,2
19.15296,17.641251,17.088486,16.877907,16.783907,190.1471805,24.86477521,true,false,2
20.525343,17.819246,16.543274,15.994329,15.731262,190.1458356,24.9055418,true,false,2
18.94536,17.522341,16.916842,16.728037,16.593863,190.1420756,21.91645522,true,false,2
18.36548,16.811762,16.151005,15.977121,15.877558,190.1486832,21.79523715,true,false,2
18.607927,17.525726,17.121138,16.979254,16.932037,190.1163339,22.77656672,true,false,2
16.812166,15.646787,15.240869,15.09788,15.081095,190.0678717,23.22319303,true,false,2
19.218199,17.17251,16.404726,16.193624,16.040377,190.1468371,23.64317462,true,false,2
19.252655,17.226292,16.50243,16.207594,16.108704,190.0684379,21.66022897,true,false,2
17.917616,16.772963,16.581371,16.511824,16.53809,190.1102931,22.41992392,true,false,2
18.688217,16.638214,15.873327,15.61811,15.450094,190.1492276,22.59322522,true,false,2
18.152098,16.720871,16.182951,16.060982,15.98717,190.1510587,22.56100602,true,false,2
18.713297,17.623316,17.461805,17.38586,17.378408,190.109371,22.96542261,true,false,2
18.188923,16.671919,16.222374,16.02376,15.958955,190.1171381,22.92735821,true,false,2
18.26977,17.108938,16.843512,16.74161,16.75559,190.1403866,23.27148345,true,false,2
18.929152,17.67774,17.190351,17.028955,16.926718,190.1432627,24.15093199,true,false,2
16.889845,15.721075,15.28526,15.148126,15.115173,190.1468955,24.13893629,true,false,2
19.181616,17.686621,17.094107,16.834997,16.704384,190.1078719,24.9142072,true,false,2
18.725531,17.533901,17.025473,16.83317,16.73465,190.0930866,20.04583469,true,false,2
18.73493,16.781017,15.942711,15.712006,15.551146,190.1141862,20.04315078,true,false,2
19.56632,16.99725,15.855299,15.474756,15.234165,190.114013,20.03267679,true,false,2
19.62277,17.578279,16.701715,16.354912,16.143251,190.1504441,20.03344941,true,false,2
18.147877,16.7092,16.190182,16.016579,15.867209,190.1359009,20.92060659,true,false,2
17.405485,16.130508,15.67736,15.56657,15.469641,190.1523852,20.90130944,true,false,2
18.258417,17.056349,16.663219,16.467424,16.37545,190.1522307,20.74501082,true,false,2
19.232597,17.914389,17.367126,17.112787,16.926098,190.109736,21.11784432,true,false,2
18.17555,16.702948,16.152967,16.002869,15.832888,190.1349747,21.04823502,true,false,2
18.346388,16.889034,16.296345,16.095228,15.984734,190.2299803,24.03434334,true,false,2
18.208382,17.112806,16.705555,16.542017,16.490923,190.2306033,23.95657891,true,false,2
19.946453,17.541626,16.541822,16.223009,16.047106,190.2557463,24.05501999,true,false,2
17.405128,16.295475,15.892687,15.759776,15.710917,190.2120617,24.33968574,true,false,2
19.184757,17.85463,17.377811,17.166656,17.092024,190.2280825,24.28572931,true,false,2
18.200731,16.751436,16.221472,16.030342,15.93374,190.2296208,24.29379946,true,false,2
20.64016,17.990055,16.729721,16.223648,15.924397,190.2483858,24.41191118,true,false,2
18.228865,17.064213,16.592323,16.422174,16.378893,190.2536776,24.78520074,true,false,2
17.632597,16.509621,16.078243,15.870984,15.864738,190.2696478,24.80783765,true,false,2
17.391811,16.22463,15.729439,15.52259,15.467742,190.2248267,21.47626684,true,false,2
17.486137,16.410702,16.014715,15.885323,15.848057,190.2281461,21.51378273,true,false,2
17.365139,15.936864,15.382348,15.222269,15.145634,190.278292,21.43719687,true,false,2
18.483784,16.47064,15.693937,15.402988,15.265719,190.2228243,21.88816465,true,false,2
17.447767,16.36467,15.968935,15.833528,15.816798,190.2272608,21.9922482,true,false,2
18.309288,17.06251,16.582167,16.476725,16.445967,190.2361535,21.98213282,true,false,2
16.575773,15.536152,15.290542,15.261177,15.246288,190.271424,21.80925815,true,false,2
17.396103,15.988919,15.440855,15.311033,15.233733,190.2249284,22.21174889,true,false,2
16.489403,15.593719,15.322464,15.212375,15.209255,190.2138965,22.6273063,true,false,2
19.431475,17.606253,16.930393,16.690716,16.571079,190.0094538,24.91294993,true,false,2
19.718739,17.154484,15.940581,15.44558,15.164865,190.0098373,21.46953269,true,false,2
18.100574,16.714283,16.21068,16.045671,15.950493,190.0098771,20.71718473,true,false,2
19.337622,17.751345,17.119579,16.910877,16.790203,190.0106968,24.21773622,true,false,2
19.389559,17.894838,17.359303,17.205538,17.123497,190.0111614,23.96263761,true,false,2
19.59738,17.29841,16.28583,15.967102,15.767521,190.011355,24.41691834,true,false,2
17.393667,16.348822,15.954556,15.867131,15.791762,190.0353458,22.26374201,true,false,2
19.025877,17.560934,16.993856,16.764149,16.675545,190.0365657,22.22617568,true,false,2
19.353508,17.469404,16.73657,16.50794,16.404909,190.0457381,23.13052081,true,false,2
19.792475,17.916193,17.217405,16.913479,16.735783,190.0459716,20.91691158,true,false,2
19.584988,17.967983,17.285786,17.010534,16.882269,190.0470765,20.2869452,true,false,2
17.443365,16.130278,15.667394,15.508835,15.474994,190.0712395,24.43249185,true,false,2
18.561205,17.486151,17.106453,17.006241,16.952095,190.0704539,24.89509276,true,false,2
18.86595,17.404913,16.809164,16.614233,16.507412,190.0712997,23.53902817,true,false,2
18.199003,17.288952,17.000435,16.914324,16.901695,190.0849544,23.60957704,true,false,2
18.520269,17.075392,16.60331,16.420307,16.341383,190.1008249,22.4438842,true,false,2
19.266644,17.807716,17.317144,17.085518,17.054394,190.0790251,23.03897496,true,false,2
19.488113,17.807816,17.31259,17.056248,16.858097,190.1006505,23.38002031,true,false,2
19.184511,17.15844,16.373819,16.076435,15.947939,190.08517,23.78739991,true,false,2
18.50226,17.116783,16.632059,16.470184,16.408661,190.0473469,24.68539661,true,false,2
18.612743,17.281353,16.771715,16.581823,16.525845,190.0475608,24.69150084,true,false,2
17.716084,16.686218,16.324848,16.219728,16.140064,190.1004272,20.51216924,true,false,2
17.865158,16.206303,15.555446,15.298624,15.151584,190.0707965,20.81147644,true,false,2
17.996689,16.539757,15.978692,15.790077,15.7082,190.082964,20.77473721,true,false,2
19.16802,17.726727,17.070442,16.787985,16.650181,190.083158,20.30884984,true,false,2
19.380472,17.914238,17.338562,17.105576,16.988804,190.0785446,20.14674364,true,false,2
19.334618,17.813583,17.189388,16.936211,16.838249,190.1554124,24.02795951,true,false,2
17.959198,16.586451,16.011574,15.75173,15.69404,190.1603316,23.88234034,true,false,2
18.979599,17.057037,16.257803,15.941063,15.763824,190.1628133,24.84962705,true,false,2
18.834566,17.888374,17.618376,17.505054,17.464441,190.1012476,21.4084269,true,false,2
18.394674,17.485073,17.209059,17.139153,17.118004,190.1609544,21.57299423,true,false,2
19.185345,17.30707,16.601259,16.393364,16.253302,190.1643391,21.92770496,true,false,2
17.89365,16.014212,15.326594,15.122463,15.007486,190.1770772,21.93991979,true,false,2
17.360006,16.083242,15.617717,15.458741,15.408022,190.201635,21.92824761,true,false,2
17.83485,16.490793,15.952526,15.774964,15.716972,190.185446,23.07250469,true,false,2
19.663969,17.160213,15.98983,15.577009,15.340199,190.2014906,23.1026322,true,false,2
18.530085,16.493641,15.72429,15.429799,15.32674,190.1546013,23.52511212,true,false,2
18.939505,17.536751,17.036549,16.837742,16.788017,190.1651112,21.20183512,true,false,2
19.494858,17.285816,16.428535,16.060675,15.926153,190.1585113,21.33147751,true,false,2
19.555836,17.624506,16.995047,16.757963,16.708145,190.1564183,21.2402627,true,false,2
19.386648,17.919657,17.335615,17.052179,16.939484,190.1555266,21.20799724,true,false,2
19.76498,17.137611,15.980868,15.555082,15.354228,190.1749483,21.18238731,true,false,2
19.614656,17.19899,16.123474,15.681391,15.527957,190.1869219,21.66237893,true,false,2
16.942945,15.641142,15.207497,15.068702,15.072128,190.1861435,22.15632021,true,false,2
16.869745,15.680593,15.277184,15.20057,15.196803,190.1622472,22.50217159,true,false,2
18.517517,16.816099,16.217804,15.991133,15.949443,190.1747073,22.60247678,true,false,2
19.057924,17.814562,17.395422,17.26519,17.277548,190.1752555,22.58591223,true,false,2
18.62578,17.620932,17.3902,17.329327,17.338968,190.1590991,22.84116702,true,false,2
19.869886,17.362816,16.249971,15.807895,15.658381,190.1872784,22.96401791,true,false,2
20.412039,17.848854,16.386599,15.582955,15.18599,190.174828,23.01508603,true,false,2
18.964687,17.373672,16.819902,16.589773,16.447655,190.1757833,23.43299737,true,false,2
18.31374,16.780579,16.283318,16.12479,16.093487,190.1911938,23.35880518,true,false,2
19.036953,17.90136,17.707554,17.606346,17.714857,190.1926875,23.26744544,true,false,2
17.318247,16.23003,15.864549,15.725733,15.704926,190.1629509,24.13871695,true,false,2
17.66699,16.07902,15.538475,15.366304,15.313726,190.1009954,24.60883537,true,false,2
17.847031,16.625347,16.174049,15.996408,15.917717,190.1639588,24.95102546,true,false,2
18.89048,16.755863,15.922439,15.633537,15.506411,190.1872668,20.06570578,true,false,2
18.032488,16.86618,16.488537,16.359398,16.272497,190.1941625,21.14229392,true,false,2
19.212795,17.986967,17.498785,17.342072,17.261414,190.3048941,24.04548922,true,false,2
16.984034,15.83876,15.480555,15.334954,15.29448,190.3452405,23.97480407,true,false,2
17.950193,16.742523,16.330845,16.132423,16.119759,190.4260864,23.93638655,true,false,2
17.654612,16.599854,16.235828,16.086149,16.074078,190.4381532,23.8586799,true,false,2
18.966906,16.981459,16.265497,15.917465,15.784346,190.295692,24.4012874,true,false,2
19.60099,17.059505,15.932835,15.491552,15.250054,190.3350557,24.34963022,true,false,2
17.686111,16.209719,15.663004,15.463229,15.367812,190.4313447,24.43486517,true,false,2
17.757172,16.700733,16.359209,16.203417,16.186184,190.3269059,24.74235579,true,false,2
19.276587,17.987371,17.488018,17.296738,17.213753,190.3414519,24.75051406,true,false,2
18.493355,16.787767,16.120825,15.896061,15.761302,190.3417766,24.72716365,true,false,2
20.045881,17.776724,16.817652,16.510719,16.333801,190.3167446,21.51942173,true,false,2
18.632669,16.486675,15.55827,15.216899,15.025755,190.4288347,21.4082627,true,false,2
20.085493,17.741201,16.736818,16.363897,16.070456,190.2033327,21.88174509,true,false,2
18.182661,16.94478,16.488787,16.326756,16.282894,190.3065046,21.93809038,true,false,2
18.703098,17.252745,16.70344,16.501076,16.421972,190.3476737,21.82143674,true,false,2
18.354885,17.151758,16.63982,16.466656,16.381189,190.4333214,21.8224782,true,false,2
19.182432,17.445623,16.775656,16.6101,16.465021,190.2969374,22.26675546,true,false,2
19.17387,17.838564,17.323093,17.173243,17.050777,190.3110168,22.23678437,true,false,2
18.223379,17.105238,16.736319,16.546114,16.621248,190.0003134,22.85274031,true,false,2
18.803114,17.948099,17.632486,17.525045,17.48078,190.0003232,20.03187767,true,false,2
19.957733,17.309298,16.152351,15.66451,15.358212,190.0315617,20.46905657,true,false,2
18.27286,17.379383,17.178343,17.113295,17.079765,190.0503992,24.3777523,true,false,2
18.528194,16.697409,15.98352,15.748357,15.663429,190.0526079,23.5478505,true,false,2
18.189951,16.420019,15.820323,15.545712,15.419997,190.0536134,21.62264851,true,false,2
17.19453,16.03875,15.609221,15.425111,15.339667,190.0582945,22.48378156,true,false,2
17.103323,16.162455,15.793494,15.687959,15.656246,190.0506141,23.66845457,true,false,2
20.133139,17.984276,17.196035,16.932301,16.754473,190.0519554,20.02442789,true,false,2
20.117018,17.576178,16.362057,15.915828,15.66322,190.0585702,20.6427936,true,false,2
20.306168,17.872198,16.745062,16.295576,16.10247,190.0875653,23.97319444,true,false,2
18.665688,17.286102,16.737616,16.529915,16.427431,190.0801354,24.4867466,true,false,2
18.587019,17.412642,16.977331,16.803068,16.708525,190.0811084,21.44494017,true,false,2
19.070948,17.870859,17.437109,17.266335,17.180649,190.096752,21.9453677,true,false,2
18.552139,17.424313,17.096704,16.959898,16.943031,190.0800597,23.18979767,true,false,2
20.445808,17.976049,16.959364,16.568428,16.381445,190.0807868,22.43385796,true,false,2
17.85009,16.714724,16.405863,16.308727,16.200249,190.1122754,23.45850655,true,false,2
18.337051,17.110144,16.664885,16.501646,16.442532,190.098287,23.75944083,true,false,2
19.586634,16.984678,15.858336,15.423106,15.203546,190.0879549,24.12279736,true,false,2
18.762041,17.791168,17.522551,17.434858,17.409597,190.113248,24.61758744,true,false,2
18.55274,17.496679,17.157425,17.030163,16.969599,190.1208481,24.62438522,true,false,2
19.763098,17.881462,17.154879,16.879076,16.748739,190.0605345,20.1814914,true,false,2
16.957458,15.747527,15.26073,16.333279,15.015157,190.098889,20.20580332,true,false,2
18.747919,17.402069,16.882946,16.644461,16.532536,190.1222768,20.73706307,true,false,2
17.025557,15.768666,15.324935,15.155535,15.131536,190.183054,23.90406238,true,false,2
17.130453,16.293938,16.02809,15.935175,15.913962,190.1960639,23.99908887,true,false,2
18.66778,16.797939,16.02141,15.710502,15.596268,190.1983579,24.01327868,true,false,2
18.474903,17.334511,16.871738,16.676184,16.647945,190.1742282,24.44836248,true,false,2
17.06712,15.851478,15.404222,15.286002,15.254862,190.1950783,24.38029655,true,false,2
18.736149,17.919806,17.612925,17.498848,17.470053,190.1744627,24.80601342,true,false,2
18.353699,17.195374,16.745367,16.6084,16.545145,190.1903217,22.69469052,true,false,2
18.378784,16.899918,16.34598,16.163162,16.101406,190.1727508,23.10577282,true,false,2
18.707293,17.04302,16.365391,16.093658,15.970222,190.1799768,23.12823015,true,false,2
18.771936,17.143061,16.450327,16.228168,16.118023,190.1887469,23.10400498,true,false,2
17.558903,16.429363,16.02051,15.880724,15.837339,190.1694423,23.55236687,true,false,2
18.655272,16.831259,16.15823,15.95657,15.868154,190.1804284,23.57296262,true,false,2
17.608248,16.459188,16.032925,15.865183,15.832159,190.1961856,23.49345491,true,false,2
17.393744,16.266655,15.869626,15.724429,15.707621,190.2007885,23.50585345,true,false,2
16.953535,15.916294,15.553092,15.421179,15.42599,190.2060054,23.54050517,true,false,2
18.0261,16.727491,16.243711,16.07778,15.996863,190.1968826,21.30069567,true,false,2
18.04031,16.785666,16.335909,16.194916,16.108496,190.2058779,21.29053844,true,false,2
20.286177,17.629028,16.257353,15.618394,15.315303,190.2005666,22.03409194,true,false,2
17.869957,16.430431,15.866571,15.654889,15.649948,190.1904056,23.03384962,true,false,2
18.791508,17.779402,17.559711,17.446096,17.522373,190.1990261,22.88855619,true,false,2
18.854757,17.298504,16.766178,16.59927,16.550678,190.172276,23.36415799,true,false,2
20.43812,17.774815,16.6383,16.148872,15.81223,190.1312251,23.39672293,true,false,2
17.950718,16.584387,16.059856,15.860809,15.818509,190.1801365,23.70881037,true,false,2
17.346218,16.313707,15.905754,15.780612,15.745622,190.2143052,23.83235032,true,false,2
18.596462,17.431261,17.039665,16.897682,16.825382,190.1735551,24.61190071,true,false,2
19.538445,17.429354,16.636253,16.378054,16.229136,190.1703209,20.09529232,true,false,2
20.058283,17.804756,16.962399,16.619061,16.423784,190.1814295,20.48921488,true,false,2
18.731394,16.699024,15.944524,15.637682,15.467419,190.1964098,20.85977108,true,false,2
20.385622,17.822584,16.738195,16.304861,16.029547,190.1687391,20.95213859,true,false,2
19.896549,17.390661,16.22925,15.745769,15.459096,190.1697736,20.17515731,true,false,2
19.148542,17.895092,17.377132,17.179224,17.073803,190.1712728,20.73590886,true,false,2
18.748581,17.236235,16.586679,16.333992,16.140661,190.1836067,21.08082377,true,false,2
18.91128,16.648695,15.704874,15.369082,15.198767,190.2169163,24.4706914,true,false,2
20.169254,17.824009,16.862085,16.476185,16.255951,190.2164791,24.28850238,true,false,2
17.089943,16.069687,15.744021,15.630486,15.570364,190.3688247,24.3119812,true,false,2
17.882587,16.793232,16.440977,16.221056,16.272169,190.3423755,24.87536636,true,false,2
16.705259,15.845749,15.652268,15.563484,15.563666,190.3489395,24.86468132,true,false,2
19.107924,17.624435,17.118225,16.92815,16.84391,190.3669282,24.84292252,true,false,2
19.141214,17.480431,16.810925,16.572857,16.466822,190.3712895,24.69966648,true,false,2
18.169809,16.239979,15.532351,15.283616,15.169936,190.2147536,21.88794509,true,false,2
19.471247,17.813854,17.183134,16.955811,16.84203,190.3582018,21.85221004,true,false,2
18.722591,17.452494,16.995245,16.826551,16.783001,190.3631084,21.89040972,true,false,2
20.106461,17.744728,16.705402,16.300167,16.036114,190.3091318,21.88748955,true,false,2
18.43626,17.160917,16.768436,16.554504,16.498947,190.2871706,22.40520629,true,false,2
18.394403,17.235413,16.789289,16.653522,16.578814,190.3231628,22.28889828,true,false,2
19.062746,17.899509,17.511795,17.272842,17.244387,190.3636094,22.39221107,true,false,2
18.953224,17.785521,17.351521,17.209213,17.183344,190.2852214,22.78763313,true,false,2
18.179806,17.066498,16.642445,16.508829,16.434999,190.3495415,22.70264108,true,false,2
17.123589,16.035357,15.651999,15.551599,15.51271,190.3693829,22.76339337,true,false,2
19.232891,17.649616,17.054348,16.864725,16.735083,190.2145365,23.04670937,true,false,2
18.932859,17.554209,17.032518,16.869717,16.803877,190.0156328,22.37104162,true,false,2
17.793165,16.695894,16.227631,16.03117,16.036049,190.0165132,24.50306491,true,false,2
18.650848,17.509714,17.116526,17.01412,16.950243,190.0399845,24.39903388,true,false,2
18.62565,17.655275,17.309042,17.152243,17.137808,190.0166536,21.8811091,true,false,2
19.49411,17.947161,17.35684,17.131859,17.05666,190.0184445,22.89645617,true,false,2
18.579199,16.631269,15.86782,15.614303,15.480698,190.0406409,24.58197097,true,false,2
18.952047,17.81208,17.368101,17.226425,17.095352,190.040251,20.86154489,true,false,2
19.376585,17.907139,17.278353,17.010603,16.875582,190.0400123,20.15235758,true,false,2
17.96306,16.775002,16.343277,16.234774,16.147051,190.0418412,20.72135907,true,false,2
19.197567,17.507092,16.837942,16.584318,16.458975,190.0911033,24.30280801,true,false,2
18.132019,16.643295,16.02829,15.80868,15.706031,190.104197,24.78011547,true,false,2
18.303764,16.911543,16.379385,16.17708,16.092476,190.0434803,21.51283977,true,false,2
18.442278,17.126551,16.592566,16.434902,16.348404,190.0438965,21.38214594,true,false,2
18.978939,17.328272,16.7185,16.548409,16.416759,190.1055849,23.6343306,true,false,2
19.455751,17.921257,17.384136,17.175131,17.05324,190.1068923,23.47954539,true,false,2
19.752842,17.920959,17.285734,17.007961,16.871536,190.0723885,21.61621768,true,false,2
18.766745,17.406759,17.102024,16.9842,16.908871,190.1205803,22.60561167,true,false,2
19.779596,17.146374,15.87722,15.302592,15.02189,190.0750465,22.97997475,true,false,2
19.250666,17.736305,17.139166,16.926266,16.792681,190.0917525,20.87065749,true,false,2
19.423647,17.923771,17.366001,17.145699,16.980682,190.1173963,20.89160601,true,false,2
17.336784,15.944209,15.435458,15.355819,15.135395,190.0901716,20.33993238,true,false,2
19.103422,17.344015,16.729445,16.499723,16.394775,190.0895153,20.57040475,true,false,2
19.881893,17.441557,16.383078,15.965029,15.754816,190.1048175,20.58453609,true,false,2
17.832439,16.477749,15.977764,15.811205,15.735384,190.208146,21.55137443,true,false,2
20.088772,17.446987,16.133329,15.597601,15.339636,190.238014,21.56857417,true,false,2
18.660736,17.534935,17.086147,16.915903,16.86886,190.2525752,21.47846995,true,false,2
18.934088,17.867516,17.532606,17.38788,17.330013,190.2511865,21.93845198,true,false,2
19.482952,17.583656,16.8571,16.624548,16.442873,190.2664811,21.82693356,true,false,2
19.084204,16.882187,16.022017,15.710164,15.552855,190.1280086,22.75497392,true,false,2
18.749594,16.518024,15.644648,15.323376,15.166621,190.2591676,22.63358803,true,false,2
18.806629,17.548122,17.090483,16.921259,16.85136,190.2504635,23.19162012,true,false,2
17.152193,15.964345,15.509356,15.342072,15.314282,190.2522488,23.22144869,true,false,2
18.723679,17.730957,17.332161,17.206144,17.134098,190.2196596,23.58062716,true,false,2
18.994005,17.922482,17.503487,17.369152,17.34697,190.2392204,23.57976248,true,false,2
18.983961,17.287148,16.581959,16.34017,16.171309,190.2391032,21.35147578,true,false,2
17.499489,16.272158,15.802229,15.644176,15.645781,190.245395,22.06663551,true,false,2
17.249767,15.891166,15.375118,15.204101,15.147026,190.2589425,22.04734092,true,false,2
17.15349,15.896464,15.361351,15.176961,15.082554,190.2668097,22.42213778,true,false,2
19.186535,17.185511,16.422634,16.134476,16.002449,190.1280647,22.93780786,true,false,2
19.053947,17.30781,16.600298,16.349115,16.193506,190.252623,23.04405652,true,false,2
19.268311,17.978745,17.548882,17.420912,17.358253,190.2672389,22.92252231,true,false,2
17.945141,16.203043,15.950604,15.825637,15.68343,190.2399538,23.46252253,true,false,2
17.481787,16.255314,15.816139,15.711328,15.60539,190.2739897,23.38256931,true,false,2
20.503483,17.873653,16.586437,15.793768,15.293203,190.2504297,23.42858573,true,false,2
17.881639,16.731634,16.316042,16.158543,16.156834,190.2380598,24.53366342,true,false,2
17.496605,16.353357,15.936577,15.780431,15.751756,190.2567124,24.65287788,true,false,2
19.389793,17.975187,17.448269,17.275938,17.187933,190.1284394,20.07036915,true,false,2
20.237015,17.525728,16.228024,15.536757,15.202822,190.2182952,20.09616085,true,false,2
19.174877,17.794746,17.173918,16.930126,16.840382,190.2575648,20.46017728,true,false,2
20.400213,17.942585,16.798983,16.365431,16.136934,190.2447821,20.29240821,true,false,2
19.23436,17.380968,16.502785,16.225994,16.085304,190.2379183,20.66923942,true,false,2
20.135412,17.707491,16.611048,16.577177,15.982297,190.2743615,20.98474719,true,false,2
18.006069,16.995459,16.661377,16.501657,16.505838,190.570533,23.98419129,true,false,2
18.023684,16.619144,16.012417,15.805654,15.737241,190.5656916,24.3162339,true,false,2
18.824762,17.511292,17.015596,16.832129,16.754276,190.6121241,24.4134684,true,false,2
18.841215,16.729528,15.909443,15.632228,15.479025,190.6233668,24.40424884,true,false,2
17.595472,16.568338,16.206139,16.124573,16.131151,190.6218588,24.27529519,true,false,2
20.409185,17.80571,16.615685,16.168688,15.936159,190.5729588,24.47473251,true,false,2
17.367723,15.914138,15.28672,15.072874,15.01823,190.5696297,24.88403002,true,false,2
19.384193,17.797716,17.141964,17.100782,16.882828,190.6215962,24.84600006,true,false,2
17.787107,16.604422,16.268597,16.137169,16.07452,190.5883247,21.935592,true,false,2
19.055506,17.359293,16.68466,16.433636,16.247105,190.6013854,21.88580546,true,false,2
20.103291,17.872929,16.877972,16.485178,16.226734,190.6255313,21.9220129,true,false,2
18.657906,17.024488,16.415005,16.162176,16.059052,190.5635994,22.29466421,true,false,2
17.488636,16.085932,15.571505,15.372384,15.315258,190.5665484,22.7395021,true,false,2
17.707609,16.565285,16.231255,16.059912,16.032211,190.5711468,22.62626729,true,false,2
20.463989,17.892267,16.68362,16.1989,15.948688,190.5703319,22.76801152,true,false,2
18.790525,17.631023,17.117683,16.930017,16.818769,190.6196364,22.66509574,true,false,2
19.400314,17.06254,15.875041,15.402014,15.113605,190.620628,22.64044172,true,false,2
17.39809,16.349453,16.004681,15.872499,15.851494,190.5706951,23.63141299,true,false,2
19.692101,17.625172,16.730362,16.397987,16.242527,190.2344427,22.70456911,true,false,2
18.249794,17.420202,17.12022,17.025192,17.021736,190.2774057,22.72074372,true,false,2
18.832575,16.613539,15.677734,15.32858,15.124675,190.2417486,23.19701583,true,false,2
17.885233,16.187033,15.503856,15.220114,15.105505,190.2801476,23.22147521,true,false,2
17.843359,16.67181,16.179054,16.006613,15.943502,190.2364584,23.58805645,true,false,2
18.963011,17.101898,16.399706,16.198986,16.094477,190.2491957,23.55922821,true,false,2
18.426849,16.832335,16.189739,15.938438,15.758739,190.2240996,21.29524497,true,false,2
18.426279,17.263525,17.157673,17.149496,17.139128,190.2716621,21.20251808,true,false,2
19.845121,17.841389,16.989408,16.713627,16.545074,190.2557388,21.34567032,true,false,2
17.467958,16.352345,16.22999,16.221395,16.288839,190.2268607,21.73876407,true,false,2
19.287737,17.996302,17.517662,17.284685,17.211569,190.2138397,22.18443835,true,false,2
19.116852,16.799809,15.859614,15.524484,15.393232,190.2135636,22.05752178,true,false,2
19.398664,17.935041,17.464102,17.285839,17.150537,190.2652865,21.9972187,true,false,2
17.970995,16.734135,16.101151,15.862271,15.726251,190.2710329,22.04474575,true,false,2
18.260427,17.285263,17.000877,16.89847,16.908587,190.2211314,22.42693305,true,false,2
18.910069,17.829029,17.407181,17.309084,17.325712,190.2604477,22.48944072,true,false,2
18.023329,16.698467,16.237244,16.074339,16.084467,190.2121211,22.94471939,true,false,2
17.151052,15.980442,15.595318,15.420118,15.416551,190.2312332,22.90298405,true,false,2
17.763105,16.824106,16.532103,16.449039,16.408432,190.2634053,22.99023012,true,false,2
19.634912,17.992746,17.415419,17.169584,17.108459,190.2237573,22.98592456,true,false,2
18.736971,17.718315,17.432987,17.34148,17.332966,190.2695882,23.31407754,true,false,2
19.952267,17.541931,16.468027,16.061766,15.859344,190.2261185,23.73911142,true,false,2
18.416353,16.892281,16.273548,16.067072,15.989591,190.2554361,23.84111113,true,false,2
17.515812,16.384094,16.006588,15.899467,15.884932,190.2610185,23.79643143,true,false,2
17.491035,16.426348,16.044113,15.900999,15.835687,190.2629401,24.17580121,true,false,2
17.420198,16.451403,16.102257,15.96142,15.936837,190.2415069,24.62891579,true,false,2
19.174944,17.313145,16.587185,16.371233,16.24189,190.2543138,24.90880337,true,false,2
19.176699,17.669399,17.0924,16.870016,16.817024,190.2413021,20.10189093,true,false,2
18.246641,17.363926,17.051323,16.920849,16.930452,190.2334042,20.47563567,true,false,2
19.531521,17.641731,16.929344,16.657555,16.541401,190.2298325,20.3700977,true,false,2
